7118,7121,7124,30010,30447,31384,31385,32880,2000251,,,,,,,,,,,,,
6355,45944,,,,,,,,,,,,,,,,,,,,
6302,6303,71897,,,,,,,,,,,,,,,,,,,
9060,,,,,,,,,,,,,,,,,,,,,
6310,6368,6397,6406,34063,,,,,,,,,,,,,,,,,
6078,31505,42546,,,,,,,,,,,,,,,,,,,
6826,10106,33215,55114,,,,,,,,,,,,,,,,,,
5975,6048,34221,71555,,,,,,,,,,,,,,,,,,
964,,,,,,,,,,,,,,,,,,,,,
79,188,6470,,,,,,,,,,,,,,,,,,,
6890,15031,16320,48279,,,,,,,,,,,,,,,,,,
1207,1932,6335,6336,6337,6348,10468,16573,30466,32968,33523,35066,43486,43618,,,,,,,,
6383,42791,,,,,,,,,,,,,,,,,,,,
11,6895,6896,6904,6906,,,,,,,,,,,,,,,,,
6486,16310,43048,,,,,,,,,,,,,,,,,,,
6357,7005,34599,45944,51300,,,,,,,,,,,,,,,,,
727,6272,6273,6277,6278,6284,6289,6301,43137,90305,,,,,,,,,,,,
379,90502,,,,,,,,,,,,,,,,,,,,
727,6270,31938,1900087,1902977,,,,,,,,,,,,,,,,,
6348,16573,30466,43486,43966,43967,45892,45944,,,,,,,,,,,,,,
79,86,320,6468,8361,10697,18108,31569,40020,44879,51301,51321,90154,,,,,,,,,
278,710,6272,6273,6275,6289,6298,6301,6348,7064,19985,30466,34087,35753,70987,1902394,1903022,1905779,,,,
1100,6270,6279,7059,10571,33314,45860,51301,60903,71902,1901987,1903468,,,,,,,,,,
710,6298,,,,,,,,,,,,,,,,,,,,
6281,6285,6289,7004,70987,,,,,,,,,,,,,,,,,
722,724,6260,6265,6268,6281,6289,6312,7004,7131,10833,16567,30491,45184,,,,,,,,
132,7097,31578,,,,,,,,,,,,,,,,,,,
6616,30433,30970,31204,44743,70843,,,,,,,,,,,,,,,,
723,7004,32210,71919,,,,,,,,,,,,,,,,,,
6468,6808,18105,22898,35556,45806,90153,,,,,,,,,,,,,,,
2,6269,6390,,,,,,,,,,,,,,,,,,,
8272,55085,1902358,,,,,,,,,,,,,,,,,,,
722,6338,7131,30491,32079,32392,45003,,,,,,,,,,,,,,,
